n,k,equation_index,equation_type,lower,upper,contains_zero
4,6,2,moment,[-1.66593414817296434082827261136117158457636833190917968750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003077828604577623480842075869258e-12 +/- 7.53e-193],[1.66593414817296434082827261136117158457636833190917968749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996922171395422376519157924130742e-12 +/- 7.53e-193],True
4,6,3,moment,[-1.37840030324043807952172358000098029151558876037597656250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003583722954220199254605548753614e-12 +/- 3.80e-192],[1.37840030324043807952172358000098029151558876037597656249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996416277045779800745394451246386e-12 +/- 3.80e-192],True
4,6,4,moment,[-1.21115710200543538060946602286094275768846273422241210937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004007277204130607421728775641458e-12 +/- 3.86e-192],[1.21115710200543538060946602286094275768846273422241210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995992722795869392578271224358542e-12 +/- 3.86e-192],True
4,6,5,moment,[-1.09676657980442657930320038417448813561350107192993164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004209204875045096547330671523706e-12 +/- 2.52e-192],[1.09676657980442657930320038417448813561350107192993164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995790795124954903452669328476294e-12 +/- 2.52e-192],True
4,6,6,equal_error,[-8.33298899905703971334294665499165386589405768403220848995998241806963250707548250637025281549191046414371662845993471730549728335398579123940613246553910000000000000000000000007298e-11 +/- 8.18e-192],[8.33298867004045840169321336074225872127177483549904151004001758193036749292451749362974718450808953585628337154006528269450271664601420876059386753446089999999999999999999999992702e-11 +/- 8.19e-192],True
4,6,7,equal_error,[-8.74818517135234585759159953962970792619349724760841651004001758193036749292451749362974718450808953585628337154006528269450271664601420876059386753446089999999999999999999999992702e-11 +/- 8.19e-192],[8.74818508837210162474964791104703874023792975434470848995998241806963250707548250637025281549191046414371662845993471730549728335398579123940613246553910000000000000000000000007298e-11 +/- 8.18e-192],True
4,6,8,equal_error,[-4.54010745744577204273231673428945907088158362397361473995998241806963250707548250637025281549191046414371662845993471730549728335398579123940613246553910000000000000000000000007298e-11 +/- 8.17e-192],[4.54010710674514728137249475989100790886046654692482276004001758193036749292451749362974718450808953585628337154006528269450271664601420876059386753446089999999999999999999999992702e-11 +/- 8.17e-192],True
4,6,9,stationarity,-3.36007875689769974769660620950162410736083984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,3.36007875689769974769660620950162410736083984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
4,7,0,moment,[-4.00000004500316100330969959486537845805287361145019531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009999999999999999999994197241458e-12 +/- 2.11e-192],[4.00000004500316100330969959486537845805287361145019531249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999990000000000000000000005802758542e-12 +/- 2.11e-192],True
4,7,1,moment,[-2.65786097490105892304779189316832344047725200653076171875000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002798394310385228384184586887652e-12 +/- 2.47e-192],[2.65786097490105892304779189316832344047725200653076171874999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997201605689614771615815413112348e-12 +/- 2.47e-192],True
4,7,2,moment,[-1.83079360387681557009731392327012144960463047027587890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001201564664483669958894118041637e-12 +/- 2.09e-192],[1.83079360387681557009731392327012144960463047027587890624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998798435335516330041105881958363e-12 +/- 2.09e-192],True
4,7,3,moment,[-1.51930052401188196709025390873648575507104396820068359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000565882589678439020992854616806e-12 +/- 3.48e-192],[1.51930052401188196709025390873648575507104396820068359374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999434117410321560979007145383194e-12 +/- 3.48e-192],True
4,7,4,moment,[-1.33688175682706092417539878169918665662407875061035156250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000287671716749629986761240193697e-12 +/- 1.52e-192],[1.33688175682706092417539878169918665662407875061035156249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999712328283250370013238759806303e-12 +/- 1.52e-192],True
4,7,5,moment,[-1.21223909681006034033678986361337592825293540954589843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000130385604555965404408758963051e-12 +/- 4.83e-192],[1.21223909681006034033678986361337592825293540954589843749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999869614395444034595591241036949e-12 +/- 4.83e-192],True
4,7,6,moment,[-1.11944194487582394936797669515726738609373569488525390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000016537043876422471399018274304e-12 +/- 2.22e-192],[1.11944194487582394936797669515726738609373569488525390624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999983462956123577528600981725696e-12 +/- 2.22e-192],True
4,7,7,equal_error,[-5.58135854463361188701949512043308934735851822194223357894360740941532022291141965492695755329076800563067350126343372165332699517125869364016566607975199999999999999999999969499919e-11 +/- 2.11e-191],[5.58135707483837931488583027665929400754374923411245392105639259058467977708858034507304244670923199436932649873656627834667300482874130635983433392024800000000000000000000030500081e-11 +/- 2.11e-191],True
4,7,8,equal_error,[-4.08405051007908062890098509805004575682086410227651642105639259058467977708858034507304244670923199436932649873656627834667300482874130635983433392024800000000000000000000030500081e-11 +/- 2.11e-191],[4.08405122093279246118154613660688048767643509205942107894360740941532022291141965492695755329076800563067350126343372165332699517125869364016566607975199999999999999999999969499919e-11 +/- 2.11e-191],True
