n,k,equation_index,equation_type,lower,upper,contains_zero
4,6,4,moment,[-1.21115710200543538060946602286094275768846273422241210937500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001583174962156799929460877123313e-12 +/- 9.15e-193],[1.21115710200543538060946602286094275768846273422241210937499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998416825037843200070539122876687e-12 +/- 9.15e-193],True
4,6,5,moment,[-1.09676657980442657930320038417448813561350107192993164062500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001135961653264366396420453147324e-12 +/- 4.67e-192],[1.09676657980442657930320038417448813561350107192993164062499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998864038346735633603579546852676e-12 +/- 4.67e-192],True
4,6,6,equal_error,[-8.33298884395492818078428003623413264917998030224234621274756220114523109368257959551927708900874907646644567610252747650256876675693384106467163042720429999999999999999999998498604e-11 +/- 2.16e-191],[8.33298882514256993425187997949977993798585221728890378725243779885476890631742040448072291099125092353355432389747252349743123324306615893532836957279570000000000000000000001501396e-11 +/- 2.16e-191],True
4,6,7,equal_error,[-8.74818516382413151732460105726930901241631791553109128725243779885476890631742040448072291099125092353355432389747252349743123324306615893532836957279570000000000000000000001501396e-11 +/- 2.16e-191],[8.74818509590031596501664639340743765401510908642203371274756220114523109368257959551927708900874907646644567610252747650256876675693384106467163042720429999999999999999999998498604e-11 +/- 2.16e-191],True
4,6,8,equal_error,[-4.54010729150163878531860577545740984546808912792593996274756220114523109368257959551927708900874907646644567610252747650256876675693384106467163042720429999999999999999999998498604e-11 +/- 2.16e-191],[4.54010727268928053878620571872305713427396104297249753725243779885476890631742040448072291099125092353355432389747252349743123324306615893532836957279570000000000000000000001501396e-11 +/- 2.16e-191],True
4,6,9,stationarity,-3.36007875689769974769660620950162410736083984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,3.36007875689769974769660620950162410736083984375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000e-9,True
4,7,0,moment,[-4.00000005177942458134410230741195846349000930786132812499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999990000000000000000000005802758542e-12 +/- 2.11e-192],[4.00000005177942458134410230741195846349000930786132812500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000009999999999999999999994197241458e-12 +/- 2.11e-192],True
4,7,1,moment,[-2.65786097151292713403059053689503343775868415832519531249999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999994650960977416837747680154883089e-12 +/- 3.21e-192],[2.65786097151292713403059053689503343775868415832519531250000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000005349039022583162252319845116911e-12 +/- 3.21e-192],True
4,7,2,moment,[-1.83079360387681557009731392327012144960463047027587890624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999995738965667636904399446033412865e-12 +/- 4.33e-192],[1.83079360387681557009731392327012144960463047027587890625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004261034332363095600553966587135e-12 +/- 4.33e-192],True
4,7,3,moment,[-1.51930052401188196709025390873648575507104396820068359374999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999996715895926514895173424324075831e-12 +/- 2.36e-192],[1.51930052401188196709025390873648575507104396820068359375000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000003284104073485104826575675924169e-12 +/- 2.36e-192],True
4,7,4,moment,[-1.33688175852112681868399945983583165798336267471313476562499999999999999999999999999999999999999999999999999999999999999999999999999999999999999999997503482997422058865098869037415e-12 +/- 1.62e-192],[1.33688175852112681868399945983583165798336267471313476562500000000000000000000000000000000000000000000000000000000000000000000000000000000000000000002496517002577941134901130962585e-12 +/- 1.62e-192],True
4,7,5,moment,[-1.21223909681006034033678986361337592825293540954589843749999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998112367935556397943236262877841e-12 +/- 4.97e-192],[1.21223909681006034033678986361337592825293540954589843750000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001887632064443602056763737122159e-12 +/- 4.97e-192],True
4,7,6,moment,[-1.11944194487582394936797669515726738609373569488525390624999999999999999999999999999999999999999999999999999999999999999999999999999999999999999999998582930720944168187576719595901e-12 +/- 2.92e-192],[1.11944194487582394936797669515726738609373569488525390625000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000001417069279055831812423280404099e-12 +/- 2.92e-192],True
4,7,7,equal_error,[-5.58135781941920372612820230894967967195657263057969784846015252132778275237669589397975841258440435713378316593731168332366098595507979724191721848658299999999999999999999967845802e-11 +/- 9.69e-192],[5.58135780005278747577712308814270368294569482547498965153984747867221724762330410602024158741559564286621683406268831667633901404492020275808278151341700000000000000000000032154198e-11 +/- 9.69e-192],True
4,7,8,equal_error,[-4.08405088834879359443085902714855915384146203738905215153984747867221724762330410602024158741559564286621683406268831667633901404492020275808278151341700000000000000000000032154198e-11 +/- 9.69e-192],[4.08405084266307949565167220750836709065583715694688534846015252132778275237669589397975841258440435713378316593731168332366098595507979724191721848658299999999999999999999967845802e-11 +/- 9.69e-192],True
