rho_lower,rho_upper,log10_tau_lower,log10_tau_upper,selected_k,depth
4.987656250000001,4.993828125,-10.9,-10.875,8,4
4.9753125,4.987656250000001,-10.9,-10.850000000000001,8,3
4.969140625,4.9753125,-10.850000000000001,-10.825000000000001,8,4
4.96296875,4.969140625,-10.850000000000001,-10.825000000000001,8,4
4.956796875,4.96296875,-10.850000000000001,-10.825000000000001,8,4
4.9506250000000005,4.956796875,-10.850000000000001,-10.825000000000001,8,4
4.96296875,4.9753125,-10.9,-10.850000000000001,8,3
4.9506250000000005,4.96296875,-10.9,-10.850000000000001,8,3
4.9753125,5.0,-11.0,-10.9,8,2
4.9506250000000005,4.9753125,-11.0,-10.9,8,2
4.93828125,4.9506250000000005,-10.850000000000001,-10.8,8,3
4.9259375,4.93828125,-10.850000000000001,-10.8,8,3
4.93828125,4.9506250000000005,-10.9,-10.850000000000001,8,3
4.9259375,4.93828125,-10.9,-10.850000000000001,8,3
4.90125,4.9259375,-10.9,-10.8,8,2
4.9259375,4.9506250000000005,-11.0,-10.9,8,2
4.90125,4.9259375,-11.0,-10.9,8,2
4.9506250000000005,5.0,-11.2,-11.0,8,1
4.90125,4.9506250000000005,-11.2,-11.0,8,1
4.90125,5.0,-11.6,-11.2,8,0
4.90125,5.0,-12.0,-11.6,8,0
4.8025,4.90125,11.600000000000001,12.0,0,0
4.8025,4.90125,11.200000000000003,11.600000000000001,0,0
4.8025,4.90125,10.8,11.200000000000003,0,0
4.8025,4.90125,10.400000000000002,10.8,0,0
4.8025,4.90125,10.0,10.400000000000002,0,0
4.8025,4.90125,9.600000000000001,10.0,0,0
4.8025,4.90125,9.200000000000003,9.600000000000001,0,0
4.8025,4.90125,8.8,9.200000000000003,0,0
4.8025,4.90125,8.400000000000002,8.8,0,0
4.8025,4.90125,8.0,8.400000000000002,0,0
4.8025,4.90125,7.600000000000001,8.0,0,0
4.8025,4.90125,7.200000000000003,7.600000000000001,0,0
4.851875,4.90125,7.000000000000002,7.200000000000003,0,1
4.8025,4.851875,7.000000000000002,7.200000000000003,0,1
4.851875,4.90125,6.800000000000001,7.000000000000002,0,1
4.8025,4.851875,6.800000000000001,7.000000000000002,0,1
4.8950781249999995,4.90125,6.750000000000001,6.775,1,4
4.88890625,4.8950781249999995,6.750000000000001,6.775,1,4
4.882734375,4.88890625,6.750000000000001,6.775,1,4
4.8765625,4.882734375,6.750000000000001,6.775,1,4
4.88890625,4.90125,6.700000000000001,6.750000000000001,1,3
4.8765625,4.88890625,6.700000000000001,6.750000000000001,1,3
4.870390625000001,4.8765625,6.750000000000001,6.775,1,4
4.86421875,4.870390625000001,6.750000000000001,6.775,1,4
4.858046874999999,4.86421875,6.750000000000001,6.775,1,4
4.851875,4.858046874999999,6.750000000000001,6.775,1,4
4.86421875,4.8765625,6.700000000000001,6.750000000000001,1,3
4.851875,4.86421875,6.700000000000001,6.750000000000001,1,3
4.8765625,4.90125,6.600000000000001,6.700000000000001,1,2
4.851875,4.8765625,6.600000000000001,6.700000000000001,1,2
4.845703125,4.851875,6.750000000000001,6.775,1,4
4.83953125,4.845703125,6.750000000000001,6.775,1,4
4.833359375000001,4.83953125,6.750000000000001,6.775,1,4
4.8271875,4.833359375000001,6.750000000000001,6.775,1,4
4.83953125,4.851875,6.700000000000001,6.750000000000001,1,3
4.8271875,4.83953125,6.700000000000001,6.750000000000001,1,3
4.821015624999999,4.8271875,6.750000000000001,6.775,1,4
4.81484375,4.821015624999999,6.750000000000001,6.775,1,4
4.808671875,4.81484375,6.750000000000001,6.775,1,4
4.8025,4.808671875,6.750000000000001,6.775,1,4
4.81484375,4.8271875,6.700000000000001,6.750000000000001,1,3
4.8025,4.81484375,6.700000000000001,6.750000000000001,1,3
4.8271875,4.851875,6.600000000000001,6.700000000000001,1,2
4.8025,4.8271875,6.600000000000001,6.700000000000001,1,2
